review_id,product_id,review_text,rating
1,101,terrible experience waste of money,1.0
2,102,average product okay for the price,2.0
3,103,cheap and bad build dont buy,1.0
4,104,the *** ive had crap item,1.0
5,105,basic product no complaints,2.0
6,106,not great broke within a week,1.0
7,107,the *** ive had crap item,2.0
8,108,standard item does the job,2.0
9,109,loved every bit of it,5.0
10,110,boring design not impressive,2.0
11,111,its usable,2.0
12,112,terrible experience waste of money,2.0
13,113,cheap and bad build dont buy,1.0
14,114,works as expected,2.0
15,115,its usable,3.0
16,116,horrible stopped working in 2 days,1.0
17,117,standard item does the job,2.0
18,118,standard item does the job,3.0
19,119,great value for money,4.0
20,120,simply perfect loved it,4.0
21,121,works as expected,3.0
22,122,product is fine nothing outstanding,2.0
23,123,satisfactory performance,3.0
24,124,cheap and bad build dont buy,2.0
25,125,its usable,3.0
26,126,amazing results would buy again,4.0
27,127,its usable,3.0
28,128,terrible experience waste of money,1.0
29,129,trash quality total waste,1.0
30,130,satisfactory performance,3.0
31,131,horrible stopped working in 2 days,2.0
32,132,loved every bit of it,4.0
33,133,loved it great for gifts,4.0
34,134,loved the packaging and delivery,5.0
35,135,amazing service and quality highly recommend,4.0
36,136,okay for daily use,2.0
37,137,trash quality total waste,2.0
38,138,loved the packaging and delivery,4.0
39,139,product is fine nothing outstanding,2.0
40,140,great value for money,4.0
41,141,absolutely amazing product love it,4.0
42,142,simply perfect loved it,4.0
43,143,standard item does the job,3.0
44,144,great value for money,5.0
45,145,loved the packaging and delivery,4.0
46,146,just okay could improve,2.0
47,147,horrible stopped working in 2 days,1.0
48,148,cheap and bad build dont buy,2.0
49,149,amazing service and quality highly recommend,4.0
50,150,the *** ive had crap item,2.0
51,151,this is the best product ive used,4.0
52,152,*** quality total crap,1.0
53,153,horrible stopped working in 2 days,2.0
54,154,great value for money,5.0
55,155,disappointed expected better,1.0
56,156,loved the packaging and delivery,5.0
57,157,not great broke within a week,1.0
58,158,amazing service and quality highly recommend,5.0
59,159,basic product no complaints,3.0
60,160,works as expected,2.0
61,161,product is fine nothing outstanding,2.0
62,162,horrible stopped working in 2 days,1.0
63,163,amazing service and quality highly recommend,4.0
64,164,decent item nothing special,2.0
65,165,decent item nothing special,2.0
66,166,loved it great for gifts,4.0
67,167,great value for money,4.0
68,168,just okay could improve,3.0
69,169,amazing service and quality highly recommend,5.0
70,170,the *** ive had crap item,2.0
71,171,*** quality total crap,2.0
72,172,this is the best product ive used,5.0
73,173,the *** ive had crap item,1.0
74,174,loved the packaging and delivery,5.0
75,175,amazing results would buy again,5.0
76,176,boring design not impressive,2.0
77,177,disappointed expected better,2.0
78,178,standard item does the job,2.0
79,179,simply perfect loved it,5.0
80,180,cheap and bad build dont buy,2.0
81,181,not great broke within a week,1.0
82,182,product is fine nothing outstanding,3.0
83,183,loved the packaging and delivery,4.0
84,184,satisfactory performance,2.0
85,185,loved the packaging and delivery,4.0
86,186,great value for money,4.0
87,187,satisfactory performance,3.0
88,188,okay for daily use,3.0
89,189,terrible experience waste of money,1.0
90,190,cheap and bad build dont buy,1.0
91,191,loved the packaging and delivery,4.0
92,192,not great broke within a week,2.0
93,193,decent item nothing special,3.0
94,194,decent item nothing special,3.0
95,195,loved the packaging and delivery,5.0
96,196,amazing service and quality highly recommend,5.0
97,197,terrible experience waste of money,2.0
98,198,*** quality total crap,1.0
99,199,its usable,3.0
100,200,loved every bit of it,5.0
